Case Number,Classification,Date/Time Reported,Earliest Occurrence,Latest Occurrence,General Location,Disposition
18-000097,Theft,01/23/18 2029,NA,01/23/18 2029,Armory Building,Open
18-000099,Vandalism,01/24/18 0010,NA,01/24/18 0010,Lot 9,Open
18-000103,Operating while Intoxicated,01/24/18 0238,01/24/18 0238,01/24/18 0238,Ross Road and Wisconsin Avenue,Arrest
18-000100,Harassment,01/24/18 1248,01/24/18 1248,01/24/18 1248,Farm House Museum,Open
18-000104,Assault,01/24/18 1331,01/24/18 1331,01/24/18 1331,119 Stanton Avenue,Open
18-000101,Vandalism,01/24/18 2122,01/24/18 2122,01/24/18 2122,Friley Hall,Open
18-000105,Vandalism,01/24/18 2327,01/24/18 2327,01/24/18 2327,Friley Hall,Open
18-000106,Alcohol Violation,01/26/18 0047,01/26/18 0047,01/26/18 0047,Lettie Street and State Avenue,Arrest
18-000107,Operating while Intoxicated,01/26/18 0148,01/26/18 0148,01/26/18 0148,Coconino Road and Mortensen Road,Arrest
18-000108,Operating while Intoxicated,01/26/18 0223,01/26/18 0223,01/26/18 0223,Mortensen Road and Seagrave Boulevard,Arrest
18-000109,Theft,01/26/18 1425,NA,01/26/18 1425,Armory Building,Open
18-000111,Fraud,01/26/18 2031,NA,01/26/18 2031,Armory Building,Open
18-000112,Operating while Intoxicated,01/27/18 0210,01/27/18 0210,01/27/18 0210,2226 Donald Street,Arrest
18-000113,Drug Violation,01/27/18 0216,01/27/18 0216,01/27/18 0216,Beach Avenue and Lincoln Way,Arrest
18-000114,Drug Violation,01/27/18 2237,01/27/18 2237,01/27/18 2237,Friley Hall,Arrest
18-000115,Public Intoxication,01/28/18 0133,01/28/18 0133,01/28/18 0133,Knapp Street and Lynn Avenue,Arrest
18-000116,Operating while Intoxicated / Hit and Run,01/28/18 0209,01/28/18 0209,01/28/18 0209,100 block Stanton Avenue,Arrest
18-000117,Public Intoxication,01/28/18 0405,01/28/18 0405,01/28/18 0405,Linden Hall,Arrest
18-000118,Driving Violation,01/28/18 1312,01/28/18 1312,01/28/18 1312,2072 Mortensen Parkway,Cited
18-000119,Theft,01/28/18 1652,NA,01/28/18 1652,119 Stanton Avenue,Open
18-000120,Theft,01/28/18 1927,01/28/18 0000,01/28/18 1927,State Gymnasium,Open
18-000122,Theft,01/29/18 1101,01/29/18 0000,01/29/18 1101,Geoffroy Hall,Open
18-000123,Theft,01/29/18 1201,01/29/18 0000,01/29/18 1201,Friley Hall,Open
18-000124,Theft,01/29/18 1326,01/29/18 0000,01/29/18 1326,119 Stanton Avenue,Open
18-000125,Theft,01/29/18 1645,01/29/18 0000,01/29/18 1645,Friley Hall,Open
18-000126,Drug Violation,01/29/18 1645,01/29/18 1645,01/29/18 1645,Friley Hall,Arrest
18-000129,Theft,01/29/18 1819,01/29/18 0000,01/29/18 1819,Wallace Wilson Commons,Open
18-000128,Theft,01/29/18 1838,01/29/18 0000,01/29/18 1838,Lied Recreation Center,Open
18-000127,Criminal Trespass,01/29/18 1900,01/29/18 1900,01/29/18 1900,35 Frederiksen Court,Open
18-000130,Harassment,01/30/18 1227,01/30/18 1227,01/30/18 1227,Parks Library,Open
18-000133,Drug Violation / Alcohol Violation,01/31/18 1518,01/31/18 1518,01/31/18 1518,72 Frederiksen Court,Arrest
18-000134,Harassment,01/31/18 1825,01/31/18 1825,01/31/18 1825,Linden Hall,Open
18-000136,Criminal Trespass,02/01/18 0139,02/01/18 0139,02/01/18 0139,Memorial Union,Arrest
18-000139,Driving Violation,02/01/18 1639,02/01/18 1639,02/01/18 1639,13th Street and Stange Road,Cited
18-000140,Public Intoxication,02/02/18 0157,02/02/18 0157,02/02/18 0157,Knapp Street and Stanton Avenue,Arrest
18-000141,Theft,02/02/18 0238,NA,02/02/18 0238,Armory Building,Open
18-000142,Drug Violation,02/02/18 0905,02/02/18 0905,02/02/18 0905,Linden Hall,Arrest
18-000143,Hit and Run,02/02/18 0916,NA,02/02/18 0916,Lot 100,Open
18-000146,Vandalism / Unlawful Use of License,02/03/18 0049,02/03/18 0049,02/03/18 0049,Buchanan Hall,Arrest
18-000146,Vandalism / Unlawful Use of License,02/03/18 0049,02/03/18 0049,02/03/18 0049,Buchanan Hall,Arrest
18-000147,Operating while Intoxicated,02/03/18 0211,02/03/18 0211,02/03/18 0211,Ash Avenue and Storm Street,Arrest
18-000150,Alcohol Violation,02/03/18 2122,02/03/18 2122,02/03/18 2122,Bissell Road and Pammel Drive,Cited
18-000151,Public Intoxication,02/04/18 0224,02/04/18 0224,02/04/18 0224,Campus Avenue and Lincoln Way,Arrest
18-000152,Theft,02/04/18 1132,02/04/18 0000,02/04/18 1132,2229 Lincoln Way,Open
18-000154,Drug Violation,02/04/18 2230,02/04/18 2230,02/04/18 2230,Lot 61A,Arrest
18-000155,Drug Violation,02/05/18 1131,02/05/18 1131,02/05/18 1131,52 Frederiksen Court,Arrest
18-000157,Harassment,02/05/18 1549,02/05/18 1549,02/05/18 1549,1318 Walton Drive,Open
18-000158,Drug Violation,02/05/18 2115,02/05/18 2115,02/05/18 2115,Helser Hall,Arrest
18-000163,Theft,02/06/18 1504,02/06/18 1504,02/06/18 1504,Memorial Union Parking Ramp,Open
18-000165,Vandalism,02/06/18 2229,02/06/18 0000,02/06/18 2229,72 Frederiksen Court,Open
18-000166,Operating while Intoxicated / Driving Violation,02/07/18 0253,02/07/18 0253,02/07/18 0253,Bissell Road and Union Drive,Arrest
18-000167,Theft,02/07/18 1638,02/07/18 0000,02/07/18 1638,2229 Lincoln Way,Open
18-000168,Drug Violation,02/07/18 1830,02/07/18 1830,02/07/18 1830,Hayward Avenue and Mortensen Road,Arrest
18-000169,Operating while Intoxicated,02/08/18 0021,02/08/18 0021,02/08/18 0021,Hayward Avenue and Mortensen Road,Arrest
18-000171,Drug Violation / Public Intoxication / Alcohol Violation,02/10/18 0152,02/10/18 0152,02/10/18 0152,Larch Hall,Arrest
18-000172,Hit and Run,02/10/18 0156,NA,02/20/18 0156,Lot 112F,Cited
18-000174,Public Intoxication,02/10/18 0310,02/10/18 0310,02/10/18 0310,Memorial Union,Arrest
18-000173,Driving Violation,02/10/18 0311,02/10/18 0311,02/10/18 0311,Mortensen Parkway and University Boulevard,Cited
18-000175,Alcohol Violation / Unlawful Use of License,02/11/18 0221,02/11/18 0221,02/11/18 0221,Hyland Avenue and West Street,Cited
18-000177,Operating while Intoxicated / Unlawful Use of License,02/11/18 0337,02/11/18 0337,02/11/18 0337,Lot 61B,Arrest
18-000178,Disorderly Conduct,02/11/18 1541,02/11/18 1541,03/05/18 1541,Town Engineering Building,Arrest
18-000179,Driving Violation,02/12/18 0134,02/12/18 0134,02/12/18 0134,Mortensen Road and State Avenue,Cited
18-000180,Harassment,02/12/18 1528,02/12/18 1528,02/12/18 1528,Lot 41,Open
18-000181,Operating while Intoxicated,02/13/18 0042,02/13/18 0042,02/13/18 0042,Lincoln Way and South Wilmoth Avenue,Arrest
18-000184,Civil Matter,02/13/18 1830,02/13/18 1830,02/13/18 1830,Hilton Coliseum,Open
18-000186,Theft,02/13/18 1939,02/13/18 1939,02/13/18 1939,Wilson Hall,Open
18-000187,Vandalism,02/14/18 0410,02/14/18 0000,02/14/18 0410,Friley Hall,Open
18-000189,Drug Violation,02/14/18 1301,02/14/18 1301,02/14/18 1301,Armory Building,Arrest
18-000190,Theft,02/14/18 1503,02/14/18 0000,02/14/18 1503,Parks Library,Open
18-000191,Operating while Intoxicated / Drug Violation,02/14/18 2257,02/14/18 2257,02/14/18 2257,Grand Avenue and Lincoln Way,Arrest
18-000192,Public Intoxication,02/15/18 0137,02/15/18 0137,02/15/18 0137,218 Welch Avenue,Arrest
18-000193,Theft,02/15/18 1029,NA,02/15/18 1029,81 Frederiksen Court,Open
18-000194,Theft,02/15/18 1114,NA,02/19/18 0100,Memorial Union,Cited
18-000195,Alcohol Violation,02/15/18 2134,02/15/18 2134,02/15/18 2134,Ash Avenue and Mortensen Parkway,Cited
18-000200,Theft,02/16/18 1224,NA,02/16/18 1224,52 Frederiksen Court,Open
18-000201,Theft,02/16/18 1542,NA,02/16/18 1542,36 Frederiksen Court,Open
18-000202,Drug Violation / Alcohol Violation / Unlawful Use of License,02/16/18 2223,02/16/18 2223,02/16/18 2223,Larch Hall,Arrest
18-000205,Driving Violation,02/18/18 0209,02/18/18 0209,02/18/18 0209,South 16th Street and University Boulevard,Arrest
18-000206,Criminal Trespass,02/18/18 1928,02/18/18 1928,02/18/18 1928,42 Frederiksen Court,Open
18-000207,Drug Violation,02/18/18 2251,02/18/18 2251,02/18/18 2251,Friley Hall,Cited
18-000208,Vandalism,02/18/18 2335,NA,02/18/18 2335,Lot 25,Open
18-000212,Drug Violation,02/19/18 2145,02/19/18 2145,02/19/18 2145,Maple Hall,Cited
18-000214,Theft,02/20/18 1351,NA,02/20/18 1351,2119 Edenburn Drive,Open
18-000215,Theft,02/20/18 1520,NA,02/20/18 1520,Buchanan Hall,Open
18-000216,Harassment,02/20/18 1625,02/20/18 1625,02/20/18 1625,Eaton Hall,Open
18-000217,Fraud,02/21/18 0008,NA,02/21/18 0008,44 Schilletter Village,Open
18-000221,Theft,02/21/18 2011,NA,02/21/18 2011,Lot S6,Open
18-000223,Vandalism,02/21/18 2120,NA,02/21/18 2120,South 16th Street and University Boulevard,Open
18-000224,Drug Violation,02/21/18 2244,02/21/18 2244,02/21/18 2244,Hawthorn Court Drive and Stange Road,Arrest
18-000227,Domestic Dispute,02/23/18 1440,02/23/18 1440,02/23/18 1440,63 Schilletter Village,Arrest
18-000229,Harassment,02/23/18 1759,02/23/18 1759,02/23/18 1759,Memorial Union,Open
18-000230,Drug Violation,02/23/18 2005,02/23/18 2005,03/04/18 1744,Friley Hall,Arrest
18-000233,Public Intoxication,02/24/18 0214,02/24/18 0214,02/24/18 0214,137 Lynn Avenue,Arrest
18-000232,Public Intoxication,02/24/18 0233,02/24/18 0233,02/24/18 0233,Memorial Union,Arrest
18-000236,Public Intoxication,02/25/18 0115,02/25/18 0115,02/25/18 0115,119 Stanton Avenue,Arrest
18-000237,Sexual Assault,02/26/18 0043,NA,02/26/18 0043,NA,Open
18-000238,Hit and Run,02/26/18 1228,NA,02/26/18 1228,Science I Hall,Open
18-000239,Hit and Run,02/26/18 1254,NA,02/26/18 1254,Lot 10,Open
18-000242,Driving Violation,02/27/18 0113,NA,02/27/18 0113,Beach Avenue and Lincoln Way,Cited
18-000246,Drug Violation,02/28/18 0000,NA,02/26/18 0000,640 Lincoln Way,Open
18-000245,Theft,02/28/18 0821,NA,02/21/18 0000,Gilman Hall,Open
18-000247,Drug Violation,02/28/18 1631,02/28/18 1631,02/28/18 1631,119 Stanton Avenue,Arrest
18-000248,Vandalism,02/28/18 2134,01/26/18 2300,NA,119 Stanton Avenue,Open
18-000249,Harassment,03/01/18 1250,NA,03/01/18 1250,Hilton Coliseum,Open
18-000251,Public Intoxication,03/02/18 0230,03/02/18 0230,03/02/18 0230,Gray Avenue and Sunset Drive,Arrest
18-000253,Theft,03/02/18 1349,03/01/18 1900,03/02/18 1349,Lied Recreation Center,Recovered
18-000254,Harassment,03/02/18 1408,09/19/17 0000,03/01/18 0000,31 Frederiksen Court,Open
18-000255,Alcohol Violation,03/03/18 0056,03/03/18 0056,03/03/18 0056,Hayward Avenue and Little Street,Cited
18-000256,Motor Vehicle Theft,03/03/18 2102,03/02/18 1100,03/05/18 0000,Maple Hall,Unfounded
18-000257,Driving Violation,03/04/18 0122,03/04/18 0122,03/04/18 0122,Lincoln Way and Beach Avenue,Cited
18-000258,Driving Violation,03/04/18 0221,03/04/18 0221,03/04/18 0221,Mortensen Road and Hayward Avenue,Cited
18-000260,Theft,03/04/18 0223,03/04/18 0945,03/04/18 1400,Friley Hall,Open
18-000259,Operating While Intoxicated / Alcohol Violation / Misuse of License,03/04/18 0304,03/04/18 0304,03/04/18 0304,Lincoln Way and South Dakota,Arrest
18-000262,Drug Violation,03/05/18 0906,NA,03/05/18 0906,4912 Mortensen Road,Open
18-000263,Drug Violation,03/05/18 1200,03/05/18 1200,03/05/18 1200,3917 Tripp St,Arrest
18-000265,Public Intoxication,03/05/18 1507,03/05/18 1507,03/05/18 1507,Pearson Hall,Arrest
18-000265,Public Intoxication,03/05/18 1507,03/05/18 1507,03/05/18 1507,Pearson Hall,Arrest
18-000264,Vandalism,03/05/18 1549,02/26/18 0100,03/03/18 1600,Union Drive and Wallace Road,Open
18-000266,Drug Violation / Unlawful Use of License / Alcohol Violation,03/05/18 1914,03/05/18 1914,03/05/18 1914,Roberts Hall,Arrest
18-000268,Fraud,03/06/18 0849,02/07/18 0000,02/16/18 0000,Ross Hall,Open
18-000270,Harassment,03/06/18 1155,NA,03/06/18 1155,Ames Lab,Open
18-000271,Fraud,03/06/18 1509,NA,03/06/18 1509,Walton Drive,Open
18-000272,Theft,03/06/18 1521,03/04/18 0300,03/04/18 1000,Friley Hall,Open
18-000273,Hit and Run,03/06/18 2125,NA,03/06/18 2125,Lot A3,Open
18-000275,Theft,03/07/18 1435,02/26/18 0000,03/07/18 1435,Pearson Hall,Open
18-000277,Operating while Intoxicated,03/08/18 0127,03/08/18 0127,03/08/18 0127,Lincoln Way and Camus Avenue,Arrest
18-000278,Theft,03/08/18 1445,03/08/18 1439,03/20/18 1050,Memorial Union,Arrest
18-000282,Operating while Intoxicated,03/09/18 0238,03/09/18 0238,03/09/18 0238,Lincoln Way and South Dakota Avenue,Arrest
18-000283,Operating while Intoxicated,03/09/18 0244,03/09/18 0244,03/09/18 0244,Mortensen Road and Pinon Drive,Arrest
18-000285,Harassment,03/10/18 1004,03/10/18 1004,03/10/18 1004,3906 Maricopa Drive,Open
18-000286,Vandalism,03/10/18 1142,03/10/18 1142,03/10/18 1142,Linden Hall,Arrest
18-000287,Burglary / Drug Violation / Interference,03/10/18 2352,03/10/18 2352,03/10/18 2352,3920 Maricopa Drive,Arrest
18-000289,Fraud,03/12/18 1511,03/12/18 1511,03/12/18 1511,Lagomarcino Hall,Open
18-000291,Harassment,03/13/18 1444,03/13/18 1444,03/13/18 1444,2311 Chamberlain Street,Open
18-000292,Operating while Intoxicated,03/14/18 0514,03/14/18 0514,03/14/18 0514,Blankenburg Drive and Stange Road,Arrest
18-000293,Theft,03/14/18 0637,NA,03/14/18 0637,150 University Village,Open
18-000296,Public Intoxication,03/16/18 0200,03/16/18 0200,03/16/18 0200,Hunt Street and Welch Avenue,Arrest
18-000297,Vandalism,03/17/18 1940,NA,03/17/18 1940,Lot 112J,Open
18-000298,Operating while Intoxicated,03/18/18 0145,03/18/18 0145,03/18/18 0145,Lincoln Way and Sheldon Avenue,Arrest
18-000299,Drug Violation / Alcohol Violation / Unlawful Use of License,03/18/18 2133,03/18/18 2133,03/18/18 2133,Lot 61A,Arrest
18-000300,Alcohol Violation,03/19/18 0015,03/19/18 0015,03/19/18 0015,Lincoln Way and Morrill Road,Cited
18-000301,Drug Violation,03/19/18 1127,03/19/18 1127,03/23/18 0000,NA,Arrest
18-000304,Driving Violation,03/20/18 0027,03/20/18 0027,03/20/18 0027,Franklin Avenue and Lincoln Way,Cited
18-000306,Fraud,03/20/18 2016,03/20/18 2016,03/20/18 2016,62 Frederiksen Court,Open
18-000308,Public Intoxication,03/21/18 0228,03/21/18 0228,03/21/18 0228,Chamberlain Street and Welch Avenue,Arrest
18-000311,Operating while Intoxicated,03/22/18 0223,03/22/18 0223,03/22/18 0223,Hayward Avenue and Mortensen Road,Arrest
18-000312,Theft,03/22/18 1255,NA,03/22/18 1255,Gilman Hall,Open
18-000313,Fraud,03/22/18 1313,03/22/18 1313,03/22/18 1313,71 Frederiksen Court,Open
18-000317,Drug Violation,03/22/18 1701,03/22/18 1701,03/23/18 0000,NA,Arrest
18-000319,Drug Violation,03/23/18 0024,03/23/18 0024,03/23/18 0024,Larch Hall,Arrest
18-000321,Sexual Assault,03/23/18 1347,09/01/17 0000,03/23/18 1347,Wallace Hall,Open
18-000323,Alcohol Violation / Driving Violation,03/23/18 2253,03/23/18 2253,03/23/18 2253,2120 Union Drive,Cited
18-000324,Vandalism / Trespass,03/24/18 0336,03/24/18 0336,03/24/18 0336,136 University Village,Arrest
18-000325,Hit and Run,03/24/18 0901,NA,03/24/18 0901,Lot 59D,Open
18-000328,Disorderly Conduct / Alcohol Violation / Public Intoxication / Interference,03/25/18 2143,03/25/18 2143,NA,2532 Union Drive,Arrest
18-000329,Theft,03/25/18 2258,03/25/18 2258,03/25/18 2258,Parks Library,Open
18-000330,Sexual Assault,03/26/18 0000,NA,03/26/18 0000,Frederiksen Court,Open
18-000331,Theft,03/26/18 1508,03/26/18 0000,03/26/18 1508,Bessey Hall,Open
18-000333,Theft,03/26/18 1702,NA,03/26/18 1702,18 Schilletter Village,Open
18-000334,Counterfeiting,03/26/18 1750,NA,03/26/18 1750,2129 Hawthorn Court Drive,Open
18-000335,Theft,03/27/18 1050,NA,03/27/18 1050,Veterinary Medicine,Open
18-000338,Theft,03/28/18 1400,03/28/18 0000,03/28/18 1400,Larch Hall,Open
18-000340,Theft,03/28/18 2013,03/28/18 0000,03/28/18 2013,Friley Hall,Unfounded
18-000341,Operating while Intoxicated / Misuse of License,03/29/18 0245,03/29/18 0245,03/29/18 0245,South Dakota Avenue and US Highway 30 ramp,Arrest
18-000343,Driving Violation,03/30/18 0235,03/30/18 0235,03/30/18 0235,Mortensen Road and South Dakota Avenue,Cited
18-000348,Vandalism,03/30/18 1701,03/30/18 0000,03/30/18 1701,Lot 61A,Open
18-000349,Theft of Motor Vehicle,03/30/18 2305,NA,03/30/18 2305,119 Stanton Avenue,Not Stolen - Towed
18-000350,Public Intoxication,03/31/18 0347,03/31/18 0347,03/31/18 0347,Buchanan Hall,Arrest
18-000352,Public Intoxication,04/01/18 0124,04/01/18 0124,04/01/18 0124,Franklin Avenue and Lincoln Way,Arrest
18-000353,Operating while Intoxicated,04/01/18 0227,04/01/18 0227,04/01/18 0227,South Grand Avenue and Wave Drive,Arrest
18-000356,Theft,04/02/18 1321,NA,04/02/18 1321,Oak Hall,Open
18-000357,Hit and Run,04/02/18 1440,NA,04/02/18 1440,Lot 62,Open
18-000359,Vandalism,04/02/18 2241,04/02/18 0000,04/02/18 2241,Memorial Union,Open
18-000362,Operating while Intoxicated,04/04/18 0215,04/04/18 0215,04/04/18 0215,36 Frederiksen Court,Arrest
18-000365,Hit and Run,04/04/18 1731,NA,04/04/18 1731,Lot 12,Open
18-000364,Theft,04/04/18 1754,04/04/18 0000,NA,Helser Hall,Open
18-000366,Driving Violation,04/05/18 0216,04/05/18 0216,04/05/18 0216,Mortensen Road and State Avenue,Cited
18-000367,Counterfeiting,04/05/18 0946,04/05/18 0946,04/05/18 0946,Beardshear Hall,Open
18-000369,Sexual Assault,04/05/18 1734,NA,04/05/18 1734,NA,Open
18-000370,Operating while Intoxicated,04/06/18 0225,04/06/18 0225,04/06/18 0225,Lot 63,Arrest
18-000371,Drug Violation,04/06/18 0244,04/06/18 0244,04/06/18 0244,Mortensen Parkway and University Boulevard,Arrest
18-000374,Hit and Run,04/06/18 1132,NA,04/06/18 1132,Lot 67,Open
18-000377,Harassment,04/06/18 1726,04/06/18 1726,04/06/18 1726,Friley Hall,Open
18-000378,Driving Violation,04/07/18 0034,04/07/18 0034,04/07/18 0034,Hyland Avenue and West Street,Cited
18-000379,Public Intoxication,04/07/18 0100,04/07/18 0100,04/07/18 0100,Campus Avenue and Lincoln Way,Arrest
18-000380,Drug Violation,04/07/18 0115,04/07/18 0115,04/07/18 0115,61 Frederiksen Court,Arrest
18-000381,Drug Violation / Interference/ Alcohol Violation,04/07/18 0345,04/07/18 0345,04/09/18 0200,Sheldon Avenue and West Street,Arrest
18-000381,Drug Violation / Interference/ Alcohol Violation,04/07/18 0345,04/07/18 0345,04/09/18 0200,Sheldon Avenue and West Street,Arrest
18-000384,Driving Violation,04/07/18 2035,04/07/18 2035,04/07/18 2035,13th Street and Hyland Avenue,Arrest
18-000396,Sexual Assault,04/08/18 0000,04/06/18 0000,04/08/18 0000,University Village,Open
18-000386,Public Intoxication / Vandalism,04/08/18 0154,04/08/18 0154,04/08/18 0154,Lettie Street and Manning Avenue,Arrest
18-000387,Operating while Intoxicated,04/08/18 0313,04/08/18 0313,04/08/18 0313,South Franklin Avenue and Lincoln Way,Arrest
18-000395,Driving Violation,04/09/18 0306,04/09/18 0306,04/09/18 0306,Dotson Drive and Marigold Drive,Cited
18-000398,Harassment,04/09/18 1022,04/09/18 1022,04/09/18 1022,Geoffroy Hall,Open
18-000404,Operating while Intoxicated,04/10/18 0100,04/10/18 0100,04/10/18 0100,Beach Avenue and Lincoln Way,Arrest
18-000408,Drug Violation,04/10/18 2132,04/10/18 2132,04/10/18 2132,Birch Hall,Cited
18-000409,Harassment,04/11/18 0938,04/11/18 0938,04/11/18 0938,Friley Hall,Open
18-000412,Theft,04/11/18 1048,04/11/18 0000,04/11/18 1048,158 University Village,Open
18-000413,Drug Violation/ Weapon Violation / Driving Violation,04/12/18 0108,04/12/18 0108,04/12/18 0108,Hayward Avenue and Mortensen Road,Arrest
18-000414,Public Intoxication / Disorderly Conduct / Interference,04/12/18 0206,04/12/18 0206,04/12/18 0206,2401 Chamberlain Street,Arrest
18-000415,Harassment,04/12/18 1229,04/12/18 1229,04/12/18 1229,315 Welch Avenue,Open
18-000418,Drug Violation,04/13/18 0028,04/13/18 0028,04/13/18 0028,100 block of Campus Avenue,Cited
18-000420,Drug Violation / Alcohol Violation,04/13/18 2301,04/13/18 2301,04/13/18 2301,Friley Hall,Cited
18-000421,Criminal Trespass/Public Intoxication,04/14/18 0338,04/14/18 0338,04/14/18 0338,Legacy Tower,Arrest
18-000423,Alcohol Violation,04/14/18 1914,04/14/18 1914,04/14/18 1914,Friley Hall,Cited
18-000428,Drug Violation,04/15/18 0000,NA,04/17/18 0000,NA,Cited
18-000425,Burglary/ False Information / Public Intoxication,04/15/18 0023,04/15/18 0023,04/15/18 0023,Memorial Union,Arrest
18-000426,Public Intoxication / Disorderly Conduct,04/15/18 0219,04/15/18 0219,04/15/18 0219,Memorial Union,Arrest
18-000427,Drug Violation / Alcohol Violation,04/15/18 0337,04/15/18 0337,04/15/18 0337,Larch Hall,Arrest
18-000430,Harassment,04/15/18 1548,NA,04/15/18 1548,Armory Building,Open
18-000431,Harassment,04/15/18 2155,NA,04/15/18 2155,Buchanan Hall,Open
18-000433,Harassment,04/16/18 1657,04/16/18 1657,04/16/18 1657,Ross Hall,Open
18-000434,Criminal Mischief,04/16/18 2015,NA,04/16/18 2015,Lot 61C,Open
18-000435,Theft,04/17/18 1444,NA,04/17/18 1444,Linden Hall,Open
18-000439,Operating while Intoxicated,04/19/18 0155,04/19/18 0155,04/19/18 0155,Lincoln Way and Sheldon Avenue,Arrest
18-000440,Driving Violation,04/19/18 0504,04/19/18 0504,04/19/18 0504,Mortensen Road and State Avenue,Cited
18-000441,Theft,04/19/18 0938,NA,04/19/18 0938,Wallace Hall,Open
18-000442,Vandalism,04/19/18 1623,NA,04/19/18 1623,Geoffroy Hall,Open
18-000445,Theft,04/19/18 2155,NA,04/19/18 2155,Wallace Wilson Commons,Open
18-000447,Public Intoxication,04/20/18 0114,04/20/18 0114,04/20/18 0114,Memorial Union,Arrest
18-000448,Operating while Intoxicated,04/20/18 0144,04/20/18 0144,04/20/18 0144,1800 block of Lincoln Way,Arrest
