Case Number,Classification,Date/Time Reported,Earliest Occurrence,Latest Occurrence,General Location,Disposition
17-000279,Operating while Intoxicated,03/03/17 0308,03/03/17 0308,03/03/17 0308,1105 Pinon Drive,Arrest
17-000280,Disorderly Conduct,03/03/17 0414,03/03/17 0414,03/08/17 2158,Helser Hall,Arrest
17-000282,Theft,03/03/17 1520,NA,03/03/17 1520,Union Drive Community Center,Open
17-000284,Criminal Trespass,03/03/17 1956,03/03/17 1956,03/03/17 1956,4625 Steinbeck Street,Open
17-000285,Public Intoxication/Alcohol Violation/Unlawful Use of License,03/03/17 2240,03/03/17 2240,03/03/17 2240,Linden Hall,Arrest
17-000286,Drug Violation/Alcohol Violation,03/03/17 2313,03/03/17 2313,03/03/17 2313,Helser Hall,Arrest
17-000287,Operating while Intoxicated/Drug Violation,03/04/17 0200,03/04/17 0200,03/04/17 0200,Beyer Court and Union Drive,Arrest
17-000288,Drug Violation/Alcohol Violation,03/04/17 1751,03/04/17 1751,03/04/17 1751,Buchanan Hall,Arrest
17-000289,Driving Violation,03/05/17 0036,03/05/17 0036,03/05/17 0036,2122 Lincoln Way,Arrest
17-000291,Operating while Intoxicated,03/05/17 0401,03/05/17 0401,03/05/17 0401,4518 Steinbeck Street,Arrest
17-000293,Theft,03/05/17 2033,NA,03/05/17 2033,Marston Hall,Open
17-000294,Operating while Intoxicated,03/06/17 0113,03/06/17 0113,03/06/17 0113,Lot 59F,Arrest
17-000295,Drug Violation,03/06/17 0933,NA,03/06/17 0933,Armory Building,Open
17-000298,Robbery,03/06/17 2209,03/06/17 2209,03/06/17 2209,Lot 115,Open
17-000299,Theft,03/06/17 2343,NA,03/06/17 2343,Memorial Union,Open
17-000300,Drug Violation,03/07/17 0950,NA,03/07/17 0950,Armory Building,Open
17-000302,Drug Violation,03/07/17 2042,03/07/17 2042,03/07/17 2042,Friley Hall,Open
17-000303,Theft,03/08/17 1325,NA,03/08/17 1325,Food Sciences Building,Open
17-000304,Drug Violation,03/08/17 1415,NA,03/08/17 1415,Armory Building,Open
17-000305,Assault,03/08/17 1529,03/08/17 1529,03/08/17 1529,Gerdin Business Building,Open
17-000307,Vandalism,03/08/17 1700,NA,03/08/17 1700,Larch Hall,Open
17-000309,Public Intoxication,03/09/17 0213,03/09/17 0213,03/09/17 0213,Parks Library,Arrest
17-000310,Assault,03/09/17 1430,03/09/17 1430,03/09/17 1430,119 Stanton Avenue,Open
17-000310,Assault/Criminal Trespass,03/09/17 1430,03/09/17 1430,03/30/17 1357,311 Ash Avenue,Arrest
17-000312,Theft,03/10/17 0114,NA,03/10/17 0114,Memorial Union,Open
17-000314,Drug Violation,03/10/17 1049,NA,03/10/17 1049,Armory Building,Open
17-000315,Driving Violation,03/10/17 1101,03/10/17 1101,03/10/17 1101,Lot 28,Arrest
17-000317,Drug Violation,03/10/17 1745,03/10/17 1745,03/10/17 1745,Maple Hall,Arrest
17-000318,Operating while Intoxicated,03/11/17 0129,03/11/17 0129,03/11/17 0129,Knapp Street and Welch Avenue,Arrest
17-000319,Drug Violation,03/11/17 0209,03/11/17 0209,03/11/17 0209,1307 Coconino Road,Open
17-000320,Harassment,03/11/17 1833,NA,03/11/17 1833,Student Services Building,Open
17-000321,Driving Violation,03/12/17 0117,03/12/17 0117,03/12/17 0117,Hyland Avenue and Lincoln Way,Arrest
