date,time,icon,wind,temp_low,temp_high,weather
2017-04-22,6 am,6,8,46,61,Partly sunny.
2017-04-22,12 pm,6,11,63,68,Partly sunny.
2017-04-22,6 pm,13,4,54,66,Clear.
2017-04-23,12 am,13,2,45,50,Clear.
2017-04-23,6 am,1,4,45,68,Sunny.
2017-04-23,12 pm,2,11,70,73,Passing clouds.
2017-04-23,6 pm,6,7,55,68,Partly sunny.
2017-04-24,12 am,14,8,48,54,Passing clouds.
2017-04-24,6 am,6,18,50,72,Partly sunny.
2017-04-24,12 pm,6,24,73,75,Partly sunny.
2017-04-24,6 pm,14,10,64,73,Passing clouds.
2017-04-25,12 am,14,8,57,63,Passing clouds.
2017-04-25,6 am,6,7,57,66,Partly sunny.
2017-04-25,12 pm,7,11,72,73,Overcast.
2017-04-25,6 pm,17,14,50,70,Overcast.
2017-04-26,12 am,34,14,45,48,Drizzle. Fog.
2017-04-26,6 am,7,18,43,48,Overcast.
2017-04-26,12 pm,7,16,46,50,Overcast.
2017-04-26,6 pm,17,15,41,46,Overcast.
2017-04-27,12 am,34,16,37,41,Drizzle. Fog.
2017-04-27,6 am,7,16,37,41,Overcast.
2017-04-27,12 pm,6,12,45,57,Partly sunny.
2017-04-27,6 pm,17,7,45,55,Overcast.
2017-04-28,12 am,17,10,39,43,Overcast.
2017-04-28,6 am,18,13,37,39,Drizzle. Fog.
2017-04-28,12 pm,18,14,39,45,Drizzle. Fog.
2017-04-28,6 pm,17,12,45,45,Overcast.
2017-04-29,12 am,17,16,45,45,Overcast.
2017-04-29,6 am,6,16,45,46,Partly sunny.
2017-04-29,12 pm,18,19,45,45,Drizzle. Fog.
2017-04-29,6 pm,34,17,41,43,Drizzle. Fog.
2017-04-30,12 am,34,16,41,41,Drizzle. Fog.
2017-04-30,6 am,18,18,41,43,Drizzle. Fog.
2017-04-30,12 pm,18,17,45,46,Drizzle. Fog.
2017-04-30,6 pm,17,7,46,46,Overcast.
2017-05-01,12 am,34,7,45,46,Drizzle. Fog.
2017-05-01,6 am,18,11,43,46,Drizzle. Fog.
2017-05-01,12 pm,18,22,45,46,Drizzle. Fog.
2017-05-01,6 pm,6,17,43,45,Partly sunny.
2017-05-02,12 am,13,7,37,41,Clear.
2017-05-02,6 am,2,13,37,57,Passing clouds.
2017-05-02,12 pm,2,15,61,64,Passing clouds.
2017-05-02,6 pm,14,4,52,63,Passing clouds.
2017-05-03,12 am,14,7,46,52,Passing clouds.
2017-05-03,6 am,6,12,46,57,Partly sunny.
2017-05-03,12 pm,6,9,57,61,Partly sunny.
2017-05-03,6 pm,6,4,46,57,Partly sunny.
2017-05-04,12 am,13,1,41,46,Clear.
2017-05-04,6 am,2,9,45,64,Passing clouds.
2017-05-04,12 pm,2,16,64,72,Passing clouds.
